Data;1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$
16/04/2003;3,0752
17/04/2003;3,0289
22/04/2003;3,0639
23/04/2003;3,0147
24/04/2003;3,0029
25/04/2003;3,0123
28/04/2003;2,9915
29/04/2003;2,9251
30/04/2003;2,8898
02/05/2003;2,9159
05/05/2003;2,9845
06/05/2003;3,0277
07/05/2003;2,9639
08/05/2003;2,9177
09/05/2003;2,8802
12/05/2003;2,8757
13/05/2003;2,8653
14/05/2003;2,8902
15/05/2003;2,9306
16/05/2003;2,9731
19/05/2003;2,9815
20/05/2003;3,0141
21/05/2003;3,0109
22/05/2003;2,9842
23/05/2003;2,9445
26/05/2003;2,9565
27/05/2003;3,0257
28/05/2003;3,014
29/05/2003;2,9488
30/05/2003;2,9656
02/06/2003;2,978
03/06/2003;2,964
04/06/2003;2,9112
05/06/2003;2,8929
06/06/2003;2,8491
09/06/2003;2,8682
10/06/2003;2,8603
11/06/2003;2,8692
12/06/2003;2,862
13/06/2003;2,857
16/06/2003;2,8508
17/06/2003;2,8744
18/06/2003;2,8902
20/06/2003;2,8933
23/06/2003;2,8788
24/06/2003;2,8616
25/06/2003;2,8559
26/06/2003;2,894
27/06/2003;2,8812
30/06/2003;2,872
01/07/2003;2,8443
02/07/2003;2,8219
03/07/2003;2,8332
04/07/2003;2,8299
07/07/2003;2,8676
08/07/2003;2,8823
09/07/2003;2,8671
10/07/2003;2,8922
11/07/2003;2,9029
14/07/2003;2,8753
15/07/2003;2,8554
16/07/2003;2,8677
17/07/2003;2,8563
18/07/2003;2,8774
21/07/2003;2,8828
22/07/2003;2,8826
23/07/2003;2,8878
24/07/2003;2,8961
25/07/2003;2,8885
28/07/2003;2,8965
29/07/2003;2,9155
30/07/2003;2,9473
31/07/2003;2,9655
01/08/2003;3,0006
04/08/2003;3,074
05/08/2003;3,0366
06/08/2003;3,039
07/08/2003;3,0069
08/08/2003;2,9892
11/08/2003;2,9945
12/08/2003;3,0237
13/08/2003;3,0309
14/08/2003;3,014
15/08/2003;2,993
18/08/2003;2,9848
19/08/2003;2,9973
20/08/2003;3,001
21/08/2003;3,0032
22/08/2003;2,9926
25/08/2003;2,9895
26/08/2003;2,9896
27/08/2003;2,9734
28/08/2003;2,9531
29/08/2003;2,9665
01/09/2003;2,984
02/09/2003;2,9789
03/09/2003;2,9568
04/09/2003;2,9418
05/09/2003;2,9216
08/09/2003;2,9155
09/09/2003;2,9306
10/09/2003;2,9125
11/09/2003;2,8991
12/09/2003;2,8959
15/09/2003;2,8898
16/09/2003;2,8967
17/09/2003;2,9057
18/09/2003;2,8975
19/09/2003;2,9065
22/09/2003;2,9021
23/09/2003;2,9145
24/09/2003;2,9244
25/09/2003;2,9306
26/09/2003;2,9373
29/09/2003;2,9374
30/09/2003;2,9234
01/10/2003;2,9034
02/10/2003;2,8989
03/10/2003;2,8875
06/10/2003;2,8753
07/10/2003;2,8701
08/10/2003;2,8444
09/10/2003;2,8422
10/10/2003;2,8401
13/10/2003;2,8371
14/10/2003;2,8425
15/10/2003;2,8268
16/10/2003;2,8409
17/10/2003;2,8635
20/10/2003;2,8839
21/10/2003;2,8642
22/10/2003;2,8602
23/10/2003;2,8698
24/10/2003;2,8695
27/10/2003;2,8728
28/10/2003;2,8675
29/10/2003;2,8537
30/10/2003;2,844
31/10/2003;2,8562
03/11/2003;2,8559
04/11/2003;2,8607
05/11/2003;2,8596
06/11/2003;2,8708
07/11/2003;2,8699
10/11/2003;2,8807
11/11/2003;2,8955
12/11/2003;2,9112
13/11/2003;2,9196
14/11/2003;2,9418
17/11/2003;2,9546
18/11/2003;2,9421
19/11/2003;2,9507
20/11/2003;2,948
21/11/2003;2,9301
24/11/2003;2,927
25/11/2003;2,9246
26/11/2003;2,9361
27/11/2003;2,9477
28/11/2003;2,9494
01/12/2003;2,9341
02/12/2003;2,9273
03/12/2003;2,9316
04/12/2003;2,9403
05/12/2003;2,9398
08/12/2003;2,9422
09/12/2003;2,935
10/12/2003;2,9429
11/12/2003;2,9434
12/12/2003;2,942
15/12/2003;2,9293
16/12/2003;2,932
17/12/2003;2,9381
18/12/2003;2,9341
19/12/2003;2,9278
22/12/2003;2,9239
23/12/2003;2,9175
24/12/2003;2,9082
26/12/2003;2,8994
29/12/2003;2,8883
30/12/2003;2,8892
31/12/2003;2,8892
02/01/2004;2,8862
05/01/2004;2,8627
06/01/2004;2,8508
07/01/2004;2,8723
08/01/2004;2,8588
09/01/2004;2,8422
12/01/2004;2,8163
13/01/2004;2,8022
14/01/2004;2,8142
15/01/2004;2,8126
16/01/2004;2,8184
19/01/2004;2,8419
20/01/2004;2,8382
21/01/2004;2,8417
22/01/2004;2,8417
23/01/2004;2,8435
